H-d1,H-d2,H-d3,H-X,H-Y,R-d1,R-d2,R-d3,R-X,R-Y,D,H-AX,H-AY,R-AX,R-AY,AD,ABS (D-AD),Error %,
0.91,1.27,0.92,1.37,1.5,0.57,1.18,1.94,1.32,0.93,0.57,1.4,0.4,2,1.6,1.34,0.77,57.51,
0.91,1.27,0.92,1.37,1.5,0.57,1.18,1.94,1.32,0.93,0.57,1.4,0.4,2,1.6,1.34,0.77,57.51,
0.43,0.92,0.66,1.39,1.46,0.57,1.18,1.94,1.32,0.93,0.54,1.4,0.4,2,1.6,1.34,0.80,59.75,
0.43,0.92,0.66,1.39,1.46,0.57,1.5,1.79,1.18,1.02,0.48,1.4,0.4,2,1.6,1.34,0.86,64.22,
0.32,1.5,1.18,1.14,1.29,0.57,1.5,1.79,1.18,1.02,0.27,1.4,0.4,2,1.6,1.34,1.07,79.88,
0.32,1.5,1.18,1.14,1.29,0.57,1.76,1.39,1.04,1.23,0.12,1.4,0.4,2,1.6,1.34,1.22,91.06,
0.32,1.5,1.18,1.14,1.29,0.57,1.76,1.39,1.04,1.23,0.12,1.4,0.4,2,1.6,1.34,1.22,91.06,
0.43,2.43,1.18,0.54,1.3,0.52,1.18,1.51,1.31,1.16,0.78,1.4,0.4,2,1.6,1.34,0.56,41.86,
0.43,2.43,1.18,0.54,1.3,0.52,1.18,1.51,1.31,1.16,0.78,1.4,0.4,2,1.6,1.34,0.56,41.86,
1.1,1.18,1.09,1.47,1.5,0.43,1.38,0.92,1.21,1.39,0.28,1.4,0.4,2,1.6,1.34,1.06,79.13,
1.1,1.18,1.09,1.47,1.5,0.43,1.38,0.92,1.21,1.39,0.28,1.6,0.6,2,1.4,0.89,0.61,68.70,
1.46,1.18,1.39,1.63,1.53,0.52,1.18,0.66,1.31,1.47,0.32,1.6,0.6,2,1.4,0.89,0.57,64.22,
1.46,1.18,1.39,1.63,1.53,0.52,1.18,0.66,1.31,1.47,0.32,1.6,0.6,2,1.4,0.89,0.57,64.22,
1.1,1.62,0.61,1.26,1.64,0.47,2.07,1,0.82,1.37,0.52,1.6,0.6,2,1.4,0.89,0.37,41.86,
1.1,1.62,0.61,1.26,1.64,0.47,2.07,1,0.82,1.37,0.52,1.6,0.6,2,1.4,0.89,0.37,41.86,
0.52,2.07,0.56,0.83,1.49,1.1,1.91,0.92,1.09,1.56,0.27,1.6,0.6,2,1.4,0.89,0.62,69.81,
0.52,2.07,0.56,0.83,1.49,1.1,1.91,0.92,1.09,1.56,0.27,1.6,0.6,2,1.4,0.89,0.62,69.81,
1.1,1.27,0.61,1.43,1.64,0.75,1.76,0.72,1.08,1.51,0.38,1.6,0.6,2,1.4,0.89,0.51,57.51,
1.1,1.27,0.61,1.43,1.64,0.75,1.76,0.72,1.08,1.51,0.38,1.6,0.6,2,1.4,0.89,0.51,57.51,
0.57,2.43,0.61,0.57,1.49,0.91,1.76,1,1.12,1.47,0.55,1.6,0.6,2,1.4,0.89,0.34,38.51,
0.57,2.43,0.61,0.57,1.49,0.91,1.76,1,1.12,1.47,0.55,1.8,0.8,2,1.2,0.45,0.10,22.98,
0.91,1.27,0.66,1.37,1.57,1.1,2.64,0.72,0.54,1.62,0.83,1.8,0.8,2,1.2,0.45,0.38,85.59,
0.91,1.27,0.66,1.37,1.57,1.1,2.64,0.72,0.54,1.62,0.83,1.8,0.8,2,1.2,0.45,0.38,85.59,
0.62,1.62,0.85,1.13,1.44,1.1,2.64,0.72,0.54,1.62,0.61,1.8,0.8,2,1.2,0.45,0.16,36.40,
0.62,1.62,0.85,1.13,1.44,1.1,1.91,0.78,1.09,1.6,0.16,1.8,0.8,2,1.2,0.45,0.29,64.22,
1.1,2.24,0.66,0.86,1.63,1.1,1.91,0.78,1.09,1.6,0.23,1.8,0.8,2,1.2,0.45,0.22,48.57,
1.1,2.24,0.66,0.86,1.63,0.75,2.07,0.66,0.88,1.52,0.11,1.8,0.8,2,1.2,0.45,0.34,75.40,
1.1,2.24,0.66,0.86,1.63,0.75,2.07,0.66,0.88,1.52,0.11,1.8,0.8,2,1.2,0.45,0.34,75.40,
0.91,2.64,0.61,0.48,1.58,0.91,2.07,0.78,0.92,1.54,0.45,2,1,2,1,0.00,0.45,0.00,
0.91,2.64,0.61,0.48,1.58,0.91,2.07,0.78,0.92,1.54,0.45,2,1,2,1,0.00,0.45,0.00,
0.62,2.07,0.66,0.85,1.49,1,2.86,0.85,0.3,1.55,0.55,2,1,2,1,0.00,0.55,0.00,
0.62,2.07,0.66,0.85,1.49,1,2.86,0.85,0.3,1.55,0.55,2,1,2,1,0.00,0.55,0.00,
,,,,,,,,,,,,,,,,,2902.18,Total
,,,,,,,,,,,,,,,,,63.09,Average Error %
,,,,,,,,,,,,,,,,,36.91,Average Accuracy %
