H-d1,H-d2,H-d3,H-X,H-Y,R-d1,R-d2,R-d3,R-X,R-Y,D,H-AX,H-AY,R-AX,R-AY,AD,ABS (D-AD),Error %,
0.39,2.24,2.29,0.69,0.65,0.62,1.38,1.28,1.25,1.29,0.85,1,0,2,2,2.24,1.39,61.99,
0.39,2.24,2.29,0.69,0.65,0.62,1.38,1.28,1.25,1.29,0.85,1,0,2,2,2.24,1.39,61.99,
0.68,2.24,1.51,0.74,1.2,0.68,1.18,1.28,1.35,1.3,0.62,1,0,2,2,2.24,1.62,72.27,
0.68,2.24,1.51,0.74,1.2,0.68,1.18,1.28,1.35,1.3,0.62,1,0,2,2,2.24,1.62,72.27,
0.52,1.38,1.51,1.23,1.16,0.62,1.08,1.09,1.37,1.37,0.25,1.2,0.2,2,1.8,1.79,1.54,86.02,
0.52,1.38,1.51,1.23,1.16,0.62,1.08,1.09,1.37,1.37,0.25,1.2,0.2,2,1.8,1.79,1.54,86.02,
0.57,1,1.18,1.39,1.32,1.1,1,1.39,1.53,1.38,0.16,1.2,0.2,2,1.8,1.79,1.63,91.06,
0.57,1,1.18,1.39,1.32,1.1,1,1.39,1.53,1.38,0.16,1.2,0.2,2,1.8,1.79,1.63,91.06,
0.39,1.38,1.64,1.21,1.07,0.39,1.5,1.18,1.15,1.29,0.23,1.2,0.2,2,1.8,1.79,1.56,87.14,
0.39,1.38,1.64,1.21,1.07,0.39,1.5,1.18,1.15,1.29,0.23,1.2,0.2,2,1.8,1.79,1.56,87.14,
0.29,1.5,0.92,1.14,1.37,0.43,1.5,1.28,1.16,1.26,0.12,1.2,0.2,2,1.8,1.79,1.67,93.29,
0.29,1.5,0.92,1.14,1.37,0.43,1.5,1.28,1.16,1.26,0.12,1.2,0.2,2,1.8,1.79,1.67,93.29,
0.27,0.92,0.56,1.37,1.46,0.43,1.18,1,1.3,1.36,0.12,1.2,0.2,2,1.8,1.79,1.67,93.29,
0.27,0.92,0.56,1.37,1.46,0.43,1.18,1,1.3,1.36,0.12,1.2,0.2,2,1.8,1.79,1.67,93.29,
